filename,total_changes,total_lines_added,total_lines_deleted,avg_complexity,avg_loc,num_authors,bug_fix_commits,label
url.py,9,287,246,44.0,96.38,4,0,0
retry.py,14,463,457,49.77,134.46,4,1,1
appengine.py,12,337,337,56.0,144.0,5,1,1
server.py,29,405,229,17.61,69.0,8,4,1
socks.py,8,201,201,25.8,94.33,3,2,1
conftest.py,5,69,11,3.6,28.2,4,0,0
test_testserver.py,16,255,90,28.25,108.44,6,4,1
test_lowlevel.py,25,579,151,27.0,164.08,12,8,1
test_hooks.py,3,31,9,5.0,14.33,2,0,0
test_structures.py,6,177,99,33.5,63.67,4,0,0
makefile.py,4,54,54,15.0,20.0,1,0,0
_internal_utils.py,10,67,16,4.67,18.11,3,2,1
codec.py,3,119,119,53.0,88.0,2,0,0
idnadata.py,3,3144,3144,0.0,1582.0,2,0,0
intranges.py,3,58,58,10.0,27.5,2,0,0
uts46data.py,3,7634,7634,73.0,7408.0,3,0,0
selectors.py,3,643,643,144.0,374.0,3,1,1
wait.py,2,40,40,9.0,23.0,2,1,1
_bug.py,1,99,0,10.0,73.0,1,1,1
bindings.py,4,591,591,2.0,231.0,2,0,0
low_level.py,4,344,344,36.0,93.5,2,0,0
securetransport.py,4,808,808,115.0,243.0,2,0,0
enums.py,2,76,76,8.0,35.0,2,0,0
langturkishmodel.py,2,193,193,0.0,156.0,2,0,0
version.py,2,9,9,0.0,2.0,2,0,0
__version__.py,54,139,109,0.0,9.94,6,1,1
__about__.py,2,0,16,0.0,0.0,2,0,0
packages.py,12,67,44,0.0,12.91,7,2,1
help.py,15,105,73,11.14,88.29,6,3,1
test_packages.py,1,13,0,3.0,7.0,1,1,1
test_help.py,5,54,27,8.4,13.2,2,0,0
test_adapters.py,1,8,0,2.0,5.0,1,0,0
